Unnamed: 0,"Indicator name: Completion rate,  primary",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,,,,,,Total,Gender,,Residence,,Wealth quintile,,,,,,,,,,,,
ISO_Code,Country,Region,Sub-region,Least developed countries (LDC),Africa sub-regions,Africa region,Total,Male,Female,Urban,Rural,Poorest,Second,Middle,Fourth,Richest,Source," Total Population, one year before primary ",,,,,,
ITA,Italy,ECA,WE,,,,,,,,,,,,,,," 2,787,635 ",1434806.0,1352829.0,1980308.02765,807326.97235,71.039,28.961
JAM,Jamaica,LAC,,,,, 99 , 99 , 100 , 99 , 100 , 98 , 100 , 100 , 100 , 100 , MICS 2011 ,,,,,,56.311,43.689
JPN,Japan,EAP,,,,,,,,,,,,,,,," 6,664,252 ",3421331.0,3242921.0,6116583.77064,547668.22936,91.782,8.218
JOR,Jordan,,,,,, 96 , 96 , 97 , 96 , 97 , 91 , 97 , 98 , 99 , 97 , DHS 2017-18 ,,,,,,91.418,8.58199999999999
KAZ,Kazakhstan,ECA,EECA,,,, 100 , 100 , 100 , 100 , 100 , 100 , 100 , 100 , 100 , 100 , MICS 2015  ," 1,341,757 ",690428.0,651329.0,773804.67947,567952.32053,57.671,42.329
KEN,Kenya,SSA,ESA,,Eastern Africa,All, 79 , 77 , 82 , 87 , 76 , 58 , 75 , 84 , 90 , 94 , DHS 2014 ," 8,093,610 ",4081391.0,4012219.0,2265806.1195,5827803.8805,27.995,72.005
KIR,Kiribati,EAP,,LDC,,,,,,,,,,,,,," 17,098 ",8657.0,8441.0,9505.46212,7592.53788,55.594,44.406
KWT,Kuwait,MENA,,,,,,,,,,,,,,,," 293,151 ",151460.0,141691.0,293151.0,0.0,100.0,0.0
KGZ,Kyrgyzstan,ECA,EECA,,,, 99 , 99 , 99 , 99 , 99 , 98 , 100 , 100 , 99 , 100 , MICS 2014 ," 489,849 ",250093.0,239756.0,180538.74744,309310.25256,36.856,63.144
LAO,Lao People's Democratic Republic,,,,,, 87 , 87 , 86 , 97 , 80 , 65 , 85 , 93 , 97 , 99 , MICS 2017 ," 760,609 ",388219.0,372390.0,276025.0061,484583.9939,36.29,63.71
LVA,Latvia,ECA,WE,,,,,,,,,,,,,,," 122,279 ",62542.0,59737.0,83534.89885,38744.10115,68.315,31.685
LBN,Lebanon,MENA,,,,,,,,,,,,,,,," 529,021 ",263724.0,265297.0,470431.92425,58589.07575,88.925,11.075
LSO,Lesotho,SSA,ESA,LDC,Southern Africa,All, 71 , 60 , 83 , 87 , 65 , 43 , 58 , 73 , 81 , 88 , DHS 2014 ," 356,299 ",179004.0,177295.0,103426.47372,252872.52628,29.028,70.972
LBR,Liberia,SSA,WCA,LDC,Western Africa,All, 34 , 36 , 33 , 44 , 15 , 10 , 12 , 23 , 39 , 57 , DHS 2013 ," 767,261 ",391966.0,375295.0,399658.58229,367602.41771,52.089,47.911
LBY,Libya,MENA,,,Northern Africa,All,,,,,,,,,,,," 715,725 ",366310.0,349415.0,577525.65975,138199.34025,80.691,19.309
LIE,Liechtenstein,ECA,WE,,,,,,,,,,,,,,," 1,915 ",1008.0,907.0,276.0664,1638.9336,14.416,85.584
LTU,Lithuania,ECA,WE,,,,,,,,,,,,,,," 109,633 ",56086.0,53547.0,74600.87118,35032.12882,68.046,31.954
LUX,Luxembourg,ECA,WE,,,,,,,,,,,,,,," 37,204 ",19002.0,18202.0,34024.17412,3179.82588,91.453,8.547
MDG,Madagascar,SSA,ESA,LDC,Eastern Africa,All,,,,,,,,,,,," 3,410,270 ",1718350.0,1691920.0,1314113.4418,2096156.5582,38.534,61.466
MWI,Malawi,SSA,ESA,LDC,Southern Africa,All, 47 , 43 , 52 , 73 , 43 , 25 , 34 , 43 , 54 , 73 , DHS 2015-16 ," 3,297,346 ",1661946.0,1635400.0,574628.48742,2722717.51258,17.427,82.573
MYS,Malaysia,EAP,,,,,,,,,,,,,,,," 2,997,418 ",1540436.0,1456982.0,2312807.7288,684610.2712,77.16,22.84
MDV,Maldives,SA,,,,,,,,,,,,,,,," 46,202 ",23680.0,22522.0,18789.89138,27412.10862,40.669,59.331
